uuid,player,course,time,plays
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,601,9750,3
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,601,11202,2
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,606,23394,1
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,606,23549,2
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,603,18349,2
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,101,38397,1
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,104,34498,2
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,112,48855,1
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,2010,40851,1
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,2011,33352,1
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,501,24103,1
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,2022,35099,1
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,2030,82449,1
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,100,49895,1
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,23,23700,1
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,2,10754,3
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,3,17448,2
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,4,13400,1
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,5,8749,1
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,11,9649,1
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,103,16500,1
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,106,12947,1
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,123,13150,1
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,2002,26047,1
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,2003,22101,2
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,6,13997,11
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,6,15898,4
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,6,15350,18
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,2010,35779,1
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,2011,35550,1
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,2012,29854,1
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,2013,47656,1
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,2014,47041,1
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,16,14359,1
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,400,15199,1
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,403,11651,2
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,6,15895,3
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,21,22840,1
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,206,15650,1
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,115,12105,2
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,24,14701,5
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,11,8246,3
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,9,8649,7
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,8,12250,1
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,1403,26661,1
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,509,13298,1
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,300,15155,2
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,21,21800,2
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,301,21605,2
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,6,14766,5
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,31,36498,1
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,603,21645,1
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,302,41402,3
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,2002,25293,1
